Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00910777989909624,0,-0.0337255398760613,0,0,0,1.01774082387667,0.00123679000195554,4.78648099154926E-20,-3.11720525242503E-05,0.00293732187940151,1.98612471063947E-20,0.0036540907711409,0,0,0,0,0,0,package://full_tesla_truck_urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://full_tesla_truck_urdf/meshes/base_link.STL,,tesla_truck-1,Coordinate System2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_link,0,-0.005,0,0,0,0,0.0066289,4.3359E-07,-2.7573E-25,5.076E-23,7.6063E-07,4.1359E-24,4.3359E-07,0,0,0,0,0,0,package://full_tesla_truck_urdf/meshes/front_left_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_tesla_truck_urdf/meshes/front_left_link.STL,,tesla_truck_wheel-4,Coordinate System3,Axis4,front_left_joint,revolute,0.06153,0.054495,-0.056567,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
back_left_link,3.4694E-18,-0.005,0,0,0,0,0.0066289,4.3359E-07,1.1029E-24,2.93E-23,7.6063E-07,-1.7922E-24,4.3359E-07,0,0,0,0,0,0,package://full_tesla_truck_urdf/meshes/back_left_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_tesla_truck_urdf/meshes/back_left_link.STL,,tesla_truck_wheel-3,Coordinate System4,Axis3,back_left_joint,revolute,-0.049669,0.054511,-0.056567,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
front_right_link,0,0.005,0,0,0,0,0.0066289,4.3359E-07,-2.8345E-24,5.0785E-24,7.6063E-07,-1.8072E-24,4.3359E-07,0,0,0,0,0,0,package://full_tesla_truck_urdf/meshes/front_right_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_tesla_truck_urdf/meshes/front_right_link.STL,,tesla_truck_wheel-2,Coordinate System5,Axis2,front_right_joint,revolute,0.06153,-0.054505,-0.056567,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
back_right_link,3.4694E-18,0.005,1.3878E-17,0,0,0,0.0066289,4.3359E-07,-3.108E-24,-2.4808E-23,7.6063E-07,-1.6326E-24,4.3359E-07,0,0,0,0,0,0,package://full_tesla_truck_urdf/meshes/back_right_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://full_tesla_truck_urdf/meshes/back_right_link.STL,,tesla_truck_wheel-1,Coordinate System6,Axis1,back_right_joint,revolute,-0.049669,-0.054464,-0.056567,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
